filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__10-minute-intense-abs-workout__f4fb483b16.html,10 Minute Intense Abs Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/10-minute-intense-abs-workout,home / small gym,muscle building,single muscle group,both,beginner,3
workouts__12-week-beginners-training-routine.html__60253f8d82.html,12 Week Full Body Workout Routine for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-beginners-training-routine.html,fully equipped gym,muscle building,full body,both,beginner,3
workouts__12-week-build-bigger-bench__b816c959f1.html,12 Weeks To A Bigger Bench Press | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-build-bigger-bench,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__12-week-kettlebell-ab-workout__1247988cfe.html,Kettlebell Ab Workout: 12 Week Progression for Increased Core Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/12-week-kettlebell-ab-workout,home / small gym,strength,single muscle group,both,beginner,3
workouts__15-minute-core-conditioning-workout__46ec9adc20.html,15-Minute Core Conditioning Workout You Can Do Anywhere | Muscle & Strength,https://www.muscleandstrength.com/workouts/15-minute-core-conditioning-workout,body weight,general fitness,single muscle group,both,beginner,3
workouts__27-home-based-ab-workout.html__06f231a1c1.html,Home-Based Ab Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/27-home-based-ab-workout.html,body weight,muscle building,single muscle group,both,beginner,3
workouts__3-day-PPL-workout-for-beginners__e045c5080d.html,3 Day Push/Pull/Legs (PPL) Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-PPL-workout-for-beginners,fully equipped gym,strength,split,both,beginner,3
workouts__3-day-at-home-womens-workout__a9f165e578.html,3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,home / small gym,fat loss,full body,women,beginner,3
workouts__3-day-dumbbell-only-workout-for-women__a3425ea293.html,3 Day Full Body Women's Dumbbell Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-dumbbell-only-workout-for-women,home / small gym,muscle building,full body,women,beginner,3
workouts__3-day-full-body-dumbbell-workout__13d5fcc8fb.html,Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-kettlebell-workout__8f50c0fafe.html,3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-kettlebell-bodyweight__28f26715f8.html,3 Day Kettlebell and Bodyweight Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-kettlebell-bodyweight,home / small gym,fat loss,split,both,beginner,3
workouts__3-day-power-muscle-burn__53df2f3611.html,3 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-power-muscle-burn,fully equipped gym,muscle building,split,both,intermediate,3
workouts__3-day-whole-body-toning-workout.html__bd2847b58b.html,3 Day Full Body Toning Workout for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html,fully equipped gym,muscle building,full body,both,intermediate,3
workouts__3day-beginners-workout.html__ab604982bd.html,3 Day Muscle Building Workout For Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/3day-beginners-workout.html,fully equipped gym,muscle building,split,both,beginner,3
workouts__45-minute-kettlebell-bodyweight-fat-loss-workout__20acd5e348.html,45-Minute Kettlebell and Bodyweight Workout for Fat Loss | Muscle & Strength,https://www.muscleandstrength.com/workouts/45-minute-kettlebell-bodyweight-fat-loss-workout,home / small gym,fat loss,full body,both,beginner,3
workouts__5000-rep-arm-specialization-program__d83201b4fc.html,"10 Week Program & 5,000 Rep Arm Specialization Program | Muscle & Strength",https://www.muscleandstrength.com/workouts/5000-rep-arm-specialization-program,fully equipped gym,muscle building,single muscle group,both,intermediate,3
workouts__6-week-bodyweight-only-workout__95f67cf51a.html,Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary) | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,body weight,fat loss,full body,both,beginner,3
workouts__6-week-extreme-fat-loss-workout__bd5c804d5c.html,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/6-week-extreme-fat-loss-workout,home / small gym,fat loss,full body,both,intermediate,3
workouts__6-week-womens-strength-and-conditioning__5d935bef21.html,6-Week Women’s Full Body Strength and Conditioning Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-womens-strength-and-conditioning,home / small gym,strength,full body,women,beginner,3
workouts__8-week-fat-loss-program-adults-40__cfd3d9edf5.html,8-Week Fat Loss Program for Adults 40+ | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-fat-loss-program-adults-40,fully equipped gym,fat loss,full body,both,beginner,3
workouts__8-week-full-body-womens-workout-routine__191d496b79.html,8 Week Full Body Workout Routine for Women,https://www.muscleandstrength.com/workouts/8-week-full-body-womens-workout-routine,fully equipped gym,muscle building,full body,women,beginner,3
workouts__8-week-hit3-gym-workout__d6ff988d76.html,HIT3 Training: 8 Week Intense Muscle-Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-hit3-gym-workout,fully equipped gym,muscle building,split,both,advanced,3
workouts__8-week-novice-quick-start-workout-plan__e8f591226c.html,8 Week Novice Quick Start Workout Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-novice-quick-start-workout-plan,fully equipped gym,muscle building,full body,men,beginner,3
workouts__9-week-progressive-bodyweight-workout__d345ad8c28.html,9 Week Bodyweight Workout For Strength & Muscle Gains | Muscle & Strength,https://www.muscleandstrength.com/workouts/9-week-progressive-bodyweight-workout,home / small gym,general fitness,full body,both,beginner,3
workouts__backyard-bodyweight-workout__d03ea824a0.html,Backyard Bodyweight Workout For Women: Take It Out Back | Muscle & Strength,https://www.muscleandstrength.com/workouts/backyard-bodyweight-workout,body weight,general fitness,full body,women,beginner,3
workouts__band-barbell-workout__0d9c70f6ff.html,8 Week Barbell and Resistance Band Muscle Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/band-barbell-workout,home / small gym,muscle building,split,both,beginner,3
workouts__band-only-muscle-building-workout__68c3acece1.html,Band Only Muscle Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/band-only-muscle-building-workout,home / small gym,muscle building,split,both,beginner,3
workouts__beef-up-bench-press-10x3-workout-program__a15bed92c7.html,Beef Up Your Bench Press 10x3 Workout Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/beef-up-bench-press-10x3-workout-program,fully equipped gym,strength,split,men,intermediate,3
workouts__bill-starr-5x5-linear-version-intermediate-lifters.html__72636f980c.html,Bill Starr 5x5 Linear Version For Intermediate Lifters | Muscle & Strength,https://www.muscleandstrength.com/workouts/bill-starr-5x5-linear-version-intermediate-lifters.html,home / small gym,strength,full body,both,intermediate,3
workouts__bodyweight-basics-3-day-workout__a2dff5065a.html,Bodyweight Basics: 3 Day Bodyweight Workout Plan,https://www.muscleandstrength.com/workouts/bodyweight-basics-3-day-workout,body weight,general fitness,split,both,beginner,3
workouts__build-muscle-bodyweight-workout-routine-circuit__f7affd987a.html,Build Muscle With This Bodyweight Workout Routine Circuit | Muscle & Strength,https://www.muscleandstrength.com/workouts/build-muscle-bodyweight-workout-routine-circuit,body weight,general fitness,full body,both,beginner,3
workouts__bulldozer-training-3-day-workout-split__508d9f6a25.html,Bulldozer Training 3 Day Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/bulldozer-training-3-day-workout-split,fully equipped gym,muscle building,split,men,intermediate,3
workouts__butt-gear-3-day-glute-workout__b2f94f6b51.html,Get Your Butt In Gear: 3 Day Glute Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/butt-gear-3-day-glute-workout,home / small gym,muscle building,single muscle group,both,beginner,3
workouts__clear-muscle-challenge__4d9990b098.html,The 12-Week Clear Muscle Challenge Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/clear-muscle-challenge,fully equipped gym,muscle building,full body,men,advanced,3
workouts__conditioning-comeback-8-week-conditioning-workout__eb3f65ea63.html,The Conditioning Comeback: 8 Week Total Body Fitness Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout,home / small gym,general fitness,split,both,beginner,3
workouts__core-strength-road-map__c485888fda.html,Core Strength Road Map: 4 Weeks to a Shredded & Strong Core,https://www.muscleandstrength.com/workouts/core-strength-road-map,fully equipped gym,strength,single muscle group,both,beginner,3
workouts__density-giant-set-training-maintain-muscle-fat-loss.html__1f6cf4e455.html,Density Giant Set Training: Maintain Muscle During Fat Loss | Muscle & Strength,https://www.muscleandstrength.com/workouts/density-giant-set-training-maintain-muscle-fat-loss.html,home / small gym,fat loss,split,both,intermediate,3
workouts__dumbbell-barbell-home-workout.html__44491ca47f.html,3 Day Dumbbell & Barbell Home Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-barbell-home-workout.html,home / small gym,muscle building,split,both,intermediate,3
workouts__dumbbell-only-home-or-gym-fullbody-workout.html__4e03804504.html,Dumbbell Only Home Or Gym Full Body Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-only-home-or-gym-fullbody-workout.html,home / small gym,muscle building,full body,men,beginner,3
