filename,title,url,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__12-week-womens-bikini-prep-workout__c71e03881f.html,12 Week Women's Bikini Prep Workout Program,https://www.muscleandstrength.com/workouts/12-week-womens-bikini-prep-workout,fully equipped gym,fat loss,split,women,intermediate,5
workouts__5-day-dumbbell-only-workout-split__cca2bc8a97.html,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,https://www.muscleandstrength.com/workouts/5-day-dumbbell-only-workout-split,home / small gym,muscle building,split,both,intermediate,5
workouts__5-day-home-muscle-building-workout__31a83b5607.html,5 Day At Home Muscle Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-day-home-muscle-building-workout,home / small gym,muscle building,split,both,beginner,5
workouts__5-day-push-pull-legs-workout-program-cycle__f5fda56d50.html,"5 Day Push, Pull, Legs Workout Program Cycle",https://www.muscleandstrength.com/workouts/5-day-push-pull-legs-workout-program-cycle,fully equipped gym,muscle building,split,both,intermediate,5
workouts__5-day-womens-dumbbell-only-workout__2970e1a7c4.html,5 Day Women’s Dumbbell Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-day-womens-dumbbell-only-workout,home / small gym,muscle building,split,women,beginner,5
workouts__5-day-workout-routine-for-women__959ae80c65.html,Workout Routine for Women: 5 Day Sample Women's Workout,https://www.muscleandstrength.com/workouts/5-day-workout-routine-for-women,fully equipped gym,muscle building,split,women,intermediate,5
workouts__5-week-full-body-kettlebell-workout__2b33b33491.html,5 Week Full Body Kettlebell Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-week-full-body-kettlebell-workout,home / small gym,fat loss,full body,both,beginner,5
workouts__6-week-lean-bulk__55094a144a.html,6-Week Lean Bulk Workout Program for Women | Muscle & Strength,https://www.muscleandstrength.com/workouts/6-week-lean-bulk,fully equipped gym,muscle building,split,women,beginner,5
workouts__8-week-plateau-busting-pyramid-workout__8fb0783865.html,8 Week Plateau Busting Pyramid Workout Program,https://www.muscleandstrength.com/workouts/8-week-plateau-busting-pyramid-workout,fully equipped gym,muscle building,split,men,advanced,5
workouts__8-week-spring-shred-program__1f9ac8a46e.html,Spring Shred: 8 Week Fat Loss Workout Plan,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program,fully equipped gym,fat loss,split,both,advanced,5
workouts__8-week-super-strength-workout__6ef10ea81e.html,Super Strength: 8 Week Strength Building Workout for Beginners | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-super-strength-workout,fully equipped gym,strength,split,both,beginner,5
workouts__advanced-bodybuilder-workout.html__d9d6ec5e03.html,Advanced Bodybuilder Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/advanced-bodybuilder-workout.html,fully equipped gym,muscle building,split,both,advanced,5
workouts__big-and-strong-advanced-program__bd0af30848.html,Big and Strong: 8 Week Advanced Strength Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/big-and-strong-advanced-program,fully equipped gym,strength,split,both,advanced,5
workouts__building-the-beginner__682769cd73.html,Building The Beginner: Foundation for Muscle & Strength,https://www.muscleandstrength.com/workouts/building-the-beginner,fully equipped gym,muscle building,split,both,beginner,5
workouts__chadwick-boseman-workout-program__084c170bf1.html,Chadwick Boseman Inspired Workout: Train Like Black Panther,https://www.muscleandstrength.com/workouts/chadwick-boseman-workout-program,home / small gym,fat loss,full body,men,intermediate,5
workouts__charles-glass-beginners-essentials-bodybuilding-workout__30b528f667.html,Charles Glass's Beginner's Essentials Bodybuilding Workout,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout,fully equipped gym,fat loss,split,both,beginner,5
workouts__combat-your-weakness-program__b32982e20f.html,Combat Your Weakness Workout Program For Muscle And Strength Gains,https://www.muscleandstrength.com/workouts/combat-your-weakness-program,fully equipped gym,muscle building,full body,both,intermediate,5
workouts__deadlift-specialization-program__6b0ca6f473.html,5-Day Deadlift Workout Program for Max Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/deadlift-specialization-program,fully equipped gym,strength,split,both,intermediate,5
workouts__dumbbell-barbell-mass-workout.html__4330bb3974.html,Dumbbell & Barbell Mass Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dumbbell-barbell-mass-workout.html,home / small gym,muscle building,split,both,intermediate,5
workouts__fat-loss-inferno-5-day-workout__1b511da3e0.html,Fat Loss Inferno: 5 Day Workout to Get Ripped,https://www.muscleandstrength.com/workouts/fat-loss-inferno-5-day-workout,fully equipped gym,fat loss,split,both,intermediate,5
workouts__limited-equipment-home-workout__db8a7c4a4b.html,5 Day Minimal Equipment Home Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/limited-equipment-home-workout,home / small gym,fat loss,split,both,beginner,5
workouts__muscle-and-strength-womens-workout__d90ef26422.html,Muscle & Strength’s Women's Trainer: 12 Week Women’s Workout Program,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-workout,fully equipped gym,fat loss,split,women,beginner,5
